PolicyNumber,PolicyType,Sex,Age,MaritalStatus,DriverRating,PastClaims,Deductible,AddressChange,VehicleCategory,Make,VehicleAge,VehiclePrice,AgentType,RepNumber,Year,Month,Week,Day,CarsInvolved,CollisionArea,Fault,InforceAccident,WitnessPresent,PoliceReport,MonthClaimed,WeekClaimed,DayClaimed,InforceClaim,Claim,Fraud
43,Liability,Female,42,Single,4,0,400,4 to 8,Sport,Toyota,4,20000 to 29000,External,12,2021,Jul,1,Monday,2,Urban,Policyholder,>30,No,No,Jul,1,Monday,>30,1462.330735,0
44,Collision,Male,41,Married,2,2 to 4,400,0,Sedan,Honda,7,20000 to 29000,External,5,2021,Jan,3,Tuesday,1,Urban,Policyholder,>30,No,No,Jan,4,Monday,>30,3876.376633,0
45,Collision,Male,72,Married,1,0,400,0,Sedan,Toyota,>7,20000 to 29000,External,16,2021,Jan,3,Wednesday,1,Urban,Third Party,>30,No,No,Jan,4,Wednesday,>30,9157.707339,0
46,All Perils,Female,29,Married,3,2 to 4,400,0,Sedan,Hyundai,5,<20000,External,8,2021,Feb,2,Wednesday,1,Urban,Third Party,>30,No,No,Feb,2,Thursday,>30,9947.156475,0
47,Collision,Male,32,Single,4,0,400,0,Sedan,Hyundai,6,30000 to 39000,Internal,9,2021,Feb,2,Thursday,1,Urban,Third Party,>30,No,No,Feb,3,Monday,>30,4658.427247,0
48,Liability,Male,37,Married,3,2 to 4,400,0,Sport,Mazda,5,30000 to 39000,External,13,2021,Nov,4,Thursday,1,Urban,Policyholder,>30,No,No,Nov,4,Friday,>30,13736.92792,0
50,Collision,Male,59,Married,4,>4,400,0,Sedan,Hyundai,>7,20000 to 29000,External,9,2021,Apr,3,Friday,1,Urban,Policyholder,>30,No,No,Apr,3,Tuesday,>30,16456.63106,0
51,Liability,Male,49,Married,2,>4,400,0,Sport,Hyundai,>7,30000 to 39000,External,14,2021,May,4,Friday,1,Urban,Policyholder,>30,No,No,May,4,Friday,>30,52494.33742,0
52,Liability,Male,27,Married,3,2 to 4,500,2 to 3,Sport,Hyundai,6,20000 to 29000,External,4,2021,Jun,4,Wednesday,1,Urban,Policyholder,>30,No,No,Jun,4,Friday,>30,3302.192639,0
53,Collision,Male,21,Married,4,0,400,0,Sport,Honda,4,>69000,External,4,2021,Jul,3,Sunday,1,Rural,Policyholder,>30,No,No,Jan,4,Wednesday,>30,61043.34801,1
55,Collision,Male,45,Single,1,1,400,0,Sedan,Hyundai,7,30000 to 39000,External,8,2021,Jun,4,Tuesday,1,Urban,Policyholder,>30,No,No,Jun,4,Tuesday,>30,58488.92439,0
56,All Perils,Male,49,Married,4,0,400,0,Sedan,Mazda,>7,20000 to 29000,External,7,2021,Dec,3,Monday,1,Urban,Third Party,>30,No,No,Dec,3,Wednesday,>30,6290.340494,0
57,All Perils,Male,30,Single,4,2 to 4,400,0,Sedan,Honda,6,20000 to 29000,External,5,2021,Jun,4,Friday,1,Urban,Policyholder,>30,No,No,Jun,5,Thursday,>30,100701.441,0
58,Collision,Male,37,Single,3,2 to 4,400,0,Sedan,Acura,7,>69000,External,11,2021,Nov,2,Friday,1,Urban,Policyholder,>30,No,No,Nov,2,Monday,>30,74810.30939,0
59,Liability,Male,17,Single,4,0,400,0,Sport,Honda,0,>69000,External,15,2021,May,1,Monday,1,Rural,Policyholder,>30,No,No,May,4,Wednesday,>30,79417.32882,0
60,Collision,Female,27,Single,4,0,400,0,Sedan,Chevrolet,6,20000 to 29000,External,4,2021,May,1,Wednesday,1,Urban,Policyholder,>30,No,No,May,2,Monday,>30,2878.745134,0
61,All Perils,Male,30,Single,4,0,400,0,Sedan,Toyota,5,30000 to 39000,External,5,2021,Nov,1,Monday,1,Urban,Policyholder,>30,No,No,Nov,3,Monday,>30,4155.987732,0
62,Collision,Male,49,Married,4,0,400,0,Utility,Hyundai,>7,40000 to 59000,External,6,2021,Sep,2,Tuesday,1,Urban,Policyholder,>30,No,No,Jan,4,Friday,>30,6238.908228,0
63,All Perils,Male,20,Single,2,2 to 4,400,0,Sedan,Honda,0,>69000,External,3,2021,Nov,4,Sunday,1,Urban,Third Party,>30,No,No,Jan,3,Friday,>30,77167.22325,0
64,Liability,Male,26,Married,3,2 to 4,400,4 to 8,Sport,Toyota,7,20000 to 29000,External,13,2021,Feb,5,Monday,2,Urban,Policyholder,>30,No,No,Mar,1,Tuesday,>30,2876.112651,0
65,Collision,Male,48,Single,1,0,400,0,Sedan,Hyundai,7,20000 to 29000,External,1,2021,Dec,1,Friday,1,Urban,Policyholder,>30,No,No,Dec,2,Tuesday,>30,5315.147798,0
66,All Perils,Male,31,Single,3,0,400,0,Sedan,Mazda,7,20000 to 29000,External,6,2021,Dec,4,Friday,1,Urban,Policyholder,>30,No,No,Jan,2,Monday,>30,3174.156859,0
67,Collision,Male,40,Single,2,1,400,0,Sedan,Ram,7,>69000,External,16,2021,Mar,3,Friday,1,Urban,Third Party,>30,No,No,Mar,3,Friday,>30,50099.55706,0
68,Liability,Male,65,Married,1,2 to 4,400,0,Sport,Mazda,>7,30000 to 39000,External,12,2021,Aug,4,Thursday,1,Urban,Policyholder,>30,No,No,Aug,5,Monday,>30,99812.63479,0
69,Collision,Male,64,Married,1,1,400,0,Sedan,Toyota,>7,20000 to 29000,External,5,2021,Jan,1,Sunday,1,Urban,Policyholder,>30,No,No,Jan,1,Tuesday,>30,2922.357319,0
70,Liability,Male,55,Married,2,2 to 4,400,0,Sport,Honda,7,20000 to 29000,External,12,2021,Jan,1,Sunday,1,Urban,Policyholder,>30,No,No,Jan,1,Wednesday,>30,8960.043265,0
71,Collision,Male,44,Single,1,2 to 4,400,0,Sedan,Honda,7,20000 to 29000,External,16,2021,Jan,1,Sunday,1,Urban,Policyholder,>30,No,No,Jan,1,Wednesday,>30,7292.541442,0
72,Collision,Male,27,Married,3,1,400,0,Sedan,Mazda,6,20000 to 29000,External,9,2021,Jan,1,Tuesday,1,Urban,Policyholder,>30,No,No,Jan,1,Thursday,>30,3188.997857,0
73,Collision,Female,28,Single,3,1,400,0,Sedan,Chevrolet,5,20000 to 29000,External,5,2021,Sep,4,Thursday,1,Urban,Third Party,15 to 30,No,No,Jan,5,Monday,>30,8027.192277,0
75,Collision,Male,60,Married,3,>4,400,0,Sedan,Mazda,7,>69000,External,12,2021,Apr,5,Saturday,1,Urban,Third Party,>30,No,No,May,1,Tuesday,>30,63535.61003,0
76,Collision,Male,33,Married,4,>4,400,0,Sedan,Ford,6,30000 to 39000,External,9,2021,Aug,1,Saturday,1,Urban,Third Party,>30,No,No,Aug,4,Wednesday,>30,12593.41437,0
77,All Perils,Male,27,Married,3,0,400,0,Sedan,Chevrolet,6,20000 to 29000,External,1,2021,Oct,4,Tuesday,1,Urban,Third Party,>30,No,No,Jan,1,Monday,>30,2709.008811,0
78,Collision,Female,47,Married,3,0,400,0,Sport,Honda,>7,>69000,External,12,2021,Feb,2,Friday,1,Urban,Third Party,>30,No,No,Feb,3,Tuesday,>30,83871.79951,0
79,Liability,Female,29,Single,1,2 to 4,400,0,Sport,Jaguar,5,30000 to 39000,External,16,2021,Feb,2,Friday,1,Rural,Policyholder,>30,No,No,Feb,3,Tuesday,>30,56479.09066,0
80,Collision,Female,33,Married,1,2 to 4,400,0,Sedan,Toyota,7,30000 to 39000,External,10,2021,Feb,4,Saturday,1,Urban,Third Party,>30,No,No,Mar,1,Friday,>30,84417.67429,0
82,Liability,Male,37,Single,2,1,400,0,Sport,Mazda,7,20000 to 29000,External,6,2021,Jan,3,Thursday,1,Urban,Third Party,>30,No,No,Jan,4,Friday,>30,8861.973707,0
84,Liability,Female,44,Married,4,0,400,0,Sport,Toyota,6,20000 to 29000,External,9,2021,Nov,5,Tuesday,1,Urban,Policyholder,>30,No,No,Feb,1,Friday,>30,2335.446508,0
85,Liability,Male,17,Single,2,>4,400,4 to 8,Sport,Honda,0,>69000,External,6,2021,Dec,1,Wednesday,2,Urban,Policyholder,>30,No,No,Jan,1,Monday,>30,58093.4198,0
86,Liability,Male,27,Married,4,1,400,0,Utility,Chevrolet,6,>69000,External,4,2021,Dec,2,Tuesday,1,Rural,Policyholder,>30,No,No,Mar,1,Tuesday,>30,50201.42845,0
88,All Perils,Male,39,Single,2,2 to 4,400,0,Sedan,Mazda,4,20000 to 29000,External,1,2021,May,4,Sunday,1,Urban,Third Party,>30,No,No,May,4,Wednesday,>30,5015.33016,0
89,All Perils,Male,74,Married,4,0,400,0,Sedan,Hyundai,7,30000 to 39000,External,13,2021,Oct,5,Saturday,1,Urban,Third Party,>30,No,No,Oct,5,Monday,>30,5790.734465,0
91,Collision,Female,25,Single,1,0,400,0,Sport,Honda,6,>69000,External,2,2021,Oct,4,Sunday,1,Urban,Third Party,>30,No,No,Oct,4,Tuesday,>30,55591.49362,0
92,Liability,Male,38,Single,2,>4,400,1,Sport,Hyundai,7,20000 to 29000,External,13,2021,Jan,2,Wednesday,1,Urban,Policyholder,>30,No,No,Jan,2,Wednesday,>30,20245.8458,0
94,Collision,Male,38,Married,3,2 to 4,700,0,Sedan,Hyundai,7,20000 to 29000,External,13,2021,Aug,4,Saturday,1,Urban,Policyholder,>30,No,No,Aug,5,Monday,>30,2045.719078,0
96,Collision,Male,61,Married,4,0,400,0,Sedan,Honda,>7,30000 to 39000,External,15,2021,May,2,Tuesday,1,Urban,Third Party,>30,No,No,May,2,Thursday,>30,6689.024157,0
97,Collision,Male,38,Married,2,1,400,0,Sedan,Toyota,7,20000 to 29000,External,7,2021,Nov,2,Friday,1,Urban,Policyholder,>30,No,No,Jan,1,Tuesday,>30,5097.074524,1
99,All Perils,Male,41,Married,4,2 to 4,400,0,Sedan,Hyundai,7,20000 to 29000,External,12,2021,Nov,3,Monday,1,Urban,Third Party,>30,No,No,Jan,4,Wednesday,>30,2103.185089,0
101,All Perils,Male,31,Married,1,>4,400,0,Utility,Chevrolet,7,>69000,External,2,2021,Nov,3,Tuesday,1,Urban,Policyholder,>30,No,No,Jan,2,Wednesday,>30,50754.80403,1
102,All Perils,Female,35,Married,4,1,400,0,Sedan,Hyundai,6,20000 to 29000,External,10,2021,Jan,5,Saturday,1,Urban,Third Party,>30,No,No,Jan,5,Monday,>30,7518.591611,0
103,All Perils,Female,37,Married,2,2 to 4,500,0,Sedan,Ford,6,>69000,External,14,2021,Jan,4,Friday,1,Urban,Policyholder,>30,No,Yes,Feb,1,Monday,>30,53404.0297,0
104,All Perils,Male,55,Married,3,0,400,0,Sedan,Mazda,>7,20000 to 29000,External,14,2021,Jan,1,Thursday,1,Urban,Policyholder,>30,No,No,Jan,2,Tuesday,>30,6188.48509,0
105,All Perils,Male,31,Single,4,2 to 4,400,0,Sedan,Hyundai,7,20000 to 29000,External,12,2021,Jan,1,Tuesday,1,Urban,Third Party,>30,No,No,Jan,1,Thursday,>30,5464.356404,0
107,Collision,Male,28,Married,2,2 to 4,400,0,Sedan,Mazda,7,20000 to 29000,External,11,2021,Aug,1,Monday,1,Urban,Policyholder,>30,No,No,Aug,1,Thursday,>30,1671.463416,0
109,All Perils,Male,47,Married,1,1,400,0,Sedan,Chevrolet,>7,20000 to 29000,External,1,2021,Jun,1,Thursday,1,Urban,Policyholder,>30,No,No,Oct,4,Thursday,>30,5054.195236,0
111,Collision,Male,23,Single,2,2 to 4,400,0,Sedan,Toyota,5,20000 to 29000,External,4,2021,May,2,Tuesday,1,Urban,Policyholder,>30,No,No,Sep,1,Friday,>30,3536.796724,0
113,All Perils,Male,35,Married,1,0,400,0,Sedan,Honda,6,20000 to 29000,External,9,2021,Nov,4,Thursday,1,Urban,Third Party,>30,No,No,Dec,5,Thursday,>30,3058.804618,0
115,Collision,Male,50,Married,3,1,400,0,Sedan,Chevrolet,>7,20000 to 29000,External,2,2021,Dec,4,Monday,1,Urban,Third Party,>30,No,No,Jan,1,Wednesday,>30,5514.082172,0
116,Collision,Male,16,Single,1,2 to 4,400,0,Sport,Honda,4,>69000,External,2,2021,Dec,2,Tuesday,1,Urban,Third Party,>30,No,No,Jan,2,Wednesday,>30,83591.43319,0
118,Liability,Male,28,Single,3,2 to 4,400,0,Sport,Hyundai,6,20000 to 29000,External,4,2021,Aug,2,Monday,1,Urban,Policyholder,>30,No,No,Aug,5,Tuesday,>30,5201.183354,0
119,All Perils,Male,68,Single,3,2 to 4,400,0,Sedan,Mazda,5,20000 to 29000,External,9,2021,Nov,5,Monday,1,Urban,Policyholder,>30,No,No,Dec,1,Wednesday,>30,1063.262958,1
120,All Perils,Male,20,Single,3,0,400,0,Sedan,Honda,0,>69000,External,7,2021,Dec,1,Friday,1,Rural,Policyholder,>30,No,No,Dec,3,Friday,>30,69029.5914,1
121,All Perils,Male,19,Single,3,0,400,0,Sedan,Honda,0,>69000,External,8,2021,Feb,1,Friday,1,Rural,Policyholder,>30,No,No,Mar,3,Friday,>30,62822.32241,0
123,Collision,Male,30,Single,1,>4,400,0,Sedan,Hyundai,6,>69000,External,2,2021,Jun,3,Monday,1,Urban,Policyholder,>30,No,No,Jun,3,Monday,>30,59263.70243,0
124,Collision,Male,51,Married,4,>4,400,0,Sedan,Honda,>7,20000 to 29000,External,1,2021,Apr,4,Tuesday,3 to 4,Urban,Policyholder,>30,No,No,Apr,4,Tuesday,>30,14029.03345,0
125,All Perils,Male,22,Single,3,0,400,0,Sedan,Toyota,6,30000 to 39000,External,6,2021,Feb,2,Sunday,1,Urban,Third Party,>30,No,No,Feb,2,Monday,>30,1592.369902,0
127,Collision,Male,53,Married,2,0,400,4 to 8,Sedan,Dodge,>7,30000 to 39000,External,15,2021,Jan,4,Saturday,2,Urban,Policyholder,>30,No,Yes,Mar,1,Monday,>30,0,0
129,Liability,Male,27,Married,3,>4,400,0,Sport,Chevrolet,6,30000 to 39000,External,9,2021,Jan,4,Sunday,1,Rural,Third Party,>30,Yes,No,Jan,4,Monday,>30,11568.32723,0
130,Collision,Male,29,Single,3,2 to 4,400,0,Sedan,Honda,7,20000 to 29000,External,14,2021,Nov,4,Monday,1,Urban,Policyholder,>30,No,No,Nov,4,Tuesday,>30,767.6644927,0
131,Collision,Male,32,Single,1,>4,400,0,Sedan,Hyundai,5,20000 to 29000,External,10,2021,Jul,2,Friday,1,Urban,Policyholder,>30,No,No,Jul,2,Friday,>30,19773.08628,0
132,Collision,Male,18,Single,3,0,400,0,Sedan,Honda,3,20000 to 29000,External,14,2021,Apr,4,Thursday,1,Urban,Third Party,>30,No,No,Apr,4,Friday,>30,8606.042538,0
133,Collision,Male,60,Married,4,2 to 4,400,0,Sedan,Hyundai,>7,20000 to 29000,External,6,2021,Oct,3,Thursday,1,Urban,Third Party,>30,No,No,Oct,4,Thursday,>30,9195.668973,0
137,Collision,Male,41,Married,4,1,400,0,Sedan,Toyota,7,20000 to 29000,External,9,2021,Mar,2,Monday,1,Urban,Third Party,>30,No,No,Mar,4,Tuesday,>30,4191.316942,0
138,All Perils,Male,29,Married,4,0,400,0,Sedan,Toyota,7,20000 to 29000,External,9,2021,Feb,4,Monday,1,Urban,Policyholder,>30,No,No,Mar,1,Wednesday,>30,6061.06982,0
139,All Perils,Male,42,Married,2,>4,400,0,Sedan,Ram,7,20000 to 29000,External,2,2021,Dec,4,Wednesday,1,Urban,Policyholder,>30,No,No,Jan,1,Thursday,>30,13980.71201,0
142,All Perils,Male,32,Married,4,1,400,0,Sedan,Hyundai,6,20000 to 29000,External,3,2021,Jun,4,Monday,1,Urban,Policyholder,>30,No,No,Jul,1,Tuesday,>30,1916.435874,0
143,Liability,Male,52,Married,4,0,400,0,Sport,Chevrolet,>7,20000 to 29000,Internal,10,2021,Feb,5,Monday,5 to 8,Urban,Policyholder,>30,No,No,Mar,1,Friday,>30,6387.332528,0
144,Collision,Male,61,Married,2,2 to 4,400,0,Sedan,Toyota,>7,20000 to 29000,External,8,2021,Feb,3,Thursday,1,Urban,Policyholder,>30,No,No,Feb,3,Friday,>30,2670.711611,0
146,All Perils,Male,41,Married,1,0,400,0,Sedan,Mazda,7,30000 to 39000,External,6,2021,Nov,1,Thursday,1,Urban,Policyholder,>30,No,No,Nov,1,Friday,>30,5109.107197,0
148,All Perils,Male,39,Married,3,0,400,<0.5,Sedan,Toyota,>7,30000 to 39000,External,1,2021,Dec,1,Monday,2,Rural,Policyholder,>30,No,No,May,3,Tuesday,>30,9595.953938,1
151,Collision,Female,31,Married,1,2 to 4,400,0,Sedan,Hyundai,7,20000 to 29000,External,8,2021,Jan,2,Monday,1,Urban,Third Party,>30,No,No,Jan,2,Friday,>30,5160.084692,0
152,Liability,Male,23,Single,4,>4,400,0,Sport,Hyundai,5,30000 to 39000,External,8,2021,Jan,2,Tuesday,1,Urban,Policyholder,>30,No,No,Jan,2,Tuesday,>30,12084.19938,0
153,Liability,Male,31,Single,3,1,400,0,Sport,Hyundai,7,30000 to 39000,External,10,2021,Jan,2,Tuesday,1,Urban,Third Party,>30,No,No,Jan,2,Friday,>30,26381.03646,0
154,All Perils,Male,50,Married,3,2 to 4,500,2 to 3,Sedan,Honda,7,20000 to 29000,External,2,2021,Sep,4,Tuesday,1,Urban,Third Party,>30,No,No,Oct,1,Monday,>30,4633.076887,0
155,Liability,Female,33,Single,3,2 to 4,400,0,Sport,Honda,6,20000 to 29000,External,8,2021,Jan,5,Saturday,1,Urban,Third Party,>30,No,No,Jan,5,Monday,>30,5367.878011,0
156,Liability,Male,30,Married,2,>4,400,0,Sport,Acura,6,30000 to 39000,External,6,2021,Jan,5,Sunday,1,Urban,Policyholder,>30,No,No,Feb,1,Tuesday,>30,69032.49752,0
157,Collision,Male,44,Married,1,>4,400,0,Sedan,Mazda,>7,40000 to 59000,External,13,2021,Jan,5,Monday,1,Urban,Policyholder,>30,No,No,Feb,1,Thursday,>30,80176.99895,0
158,All Perils,Male,46,Married,2,1,400,0,Sedan,Chevrolet,7,>69000,External,13,2021,Jan,4,Wednesday,1,Urban,Policyholder,>30,No,No,Feb,4,Tuesday,>30,51208.18744,0
159,Liability,Male,31,Single,4,2 to 4,400,0,Sport,Honda,6,20000 to 29000,External,11,2021,Jan,5,Saturday,1,Urban,Policyholder,>30,No,No,Feb,1,Wednesday,>30,7730.295914,0
160,Liability,Male,48,Married,3,2 to 4,400,0,Sport,Honda,>7,20000 to 29000,External,5,2021,Jan,5,Friday,1,Urban,Policyholder,>30,No,No,Jan,5,Friday,>30,8696.48387,0
161,All Perils,Male,33,Married,3,0,400,0,Sedan,Chevrolet,6,>69000,External,12,2021,Dec,2,Friday,1,Urban,Policyholder,>30,No,No,Jan,2,Friday,>30,51335.82906,1
162,Liability,Male,25,Single,1,2 to 4,400,0,Sport,Honda,0,>69000,External,3,2021,Jan,4,Tuesday,1,Urban,Policyholder,>30,No,No,Jan,4,Wednesday,>30,51707.84022,0
163,Liability,Female,37,Single,3,1,400,0,Sport,Chevrolet,7,>69000,External,5,2021,Jan,4,Friday,1,Urban,Third Party,>30,No,No,Jan,4,Wednesday,>30,64586.61862,0
164,All Perils,Male,43,Married,3,0,400,0,Sedan,Toyota,7,<20000,External,3,2021,Jan,4,Friday,1,Urban,Third Party,>30,No,No,Jan,4,Thursday,>30,3241.702256,0
165,Collision,Female,32,Married,1,>4,400,0,Sedan,Toyota,4,30000 to 39000,External,14,2021,Jan,2,Wednesday,3 to 4,Urban,Third Party,>30,No,No,Jan,4,Monday,>30,50943.27551,0
166,Liability,Male,57,Married,1,2 to 4,400,0,Sport,Toyota,>7,20000 to 29000,External,4,2021,Jan,2,Thursday,1,Urban,Policyholder,>30,No,No,Jan,2,Thursday,>30,7438.40409,0
168,Collision,Female,27,Single,4,0,400,0,Sedan,Toyota,6,20000 to 29000,External,12,2021,Oct,2,Saturday,1,Urban,Policyholder,>30,No,No,Oct,2,Monday,>30,1203.361659,0
169,All Perils,Male,42,Married,4,2 to 4,400,4 to 8,Utility,Nissan,>7,>69000,External,6,2021,May,4,Friday,2,Rural,Policyholder,>30,No,No,Jul,2,Wednesday,>30,82440.20837,0
170,Liability,Male,57,Married,1,2 to 4,400,0,Sport,Honda,>7,20000 to 29000,External,7,2021,May,3,Thursday,1,Urban,Policyholder,>30,No,No,May,4,Monday,>30,1349.532068,0
171,All Perils,Male,32,Single,3,0,400,0,Sedan,Hyundai,7,20000 to 29000,External,2,2021,Mar,4,Friday,1,Urban,Policyholder,>30,No,No,Mar,5,Wednesday,>30,4941.675284,0
173,Collision,Male,36,Married,4,0,400,0,Sedan,VW,7,30000 to 39000,External,2,2021,Feb,2,Monday,1,Urban,Policyholder,>30,No,No,Feb,4,Tuesday,>30,1680.058136,0
175,All Perils,Female,32,Single,1,1,400,0,Sedan,Honda,6,<20000,External,14,2021,Feb,1,Monday,1,Urban,Policyholder,>30,No,No,Feb,2,Tuesday,>30,2788.41462,0
176,All Perils,Male,33,Single,2,0,400,0,Sedan,Chevrolet,6,20000 to 29000,External,1,2021,Feb,1,Sunday,1,Urban,Policyholder,>30,No,No,Feb,2,Thursday,>30,0,0
177,All Perils,Male,37,Married,2,2 to 4,400,0,Sedan,Saab,>7,30000 to 39000,External,1,2021,Feb,2,Tuesday,1,Urban,Policyholder,>30,No,No,Feb,2,Wednesday,>30,52942.99271,0
178,Liability,Female,26,Single,3,>4,400,0,Sport,Honda,6,20000 to 29000,External,16,2021,Jan,5,Tuesday,1,Urban,Policyholder,>30,No,No,Feb,1,Wednesday,>30,13290.64649,0
179,All Perils,Male,53,Married,1,1,400,0,Sedan,Chevrolet,>7,20000 to 29000,External,5,2021,Jan,3,Sunday,1,Urban,Policyholder,>30,No,No,Jan,3,Wednesday,>30,3069.555228,0
180,All Perils,Male,53,Married,3,1,400,0,Sedan,Ram,>7,20000 to 29000,External,12,2021,Jan,3,Saturday,1,Rural,Third Party,>30,No,No,Jan,3,Tuesday,>30,2458.71794,0
181,All Perils,Male,74,Married,4,2 to 4,400,0,Sedan,Ford,>7,<20000,External,8,2021,Jan,3,Monday,1,Urban,Policyholder,>30,No,No,Jan,3,Tuesday,>30,7897.532775,0
182,Collision,Male,50,Married,2,1,400,0,Sedan,Hyundai,7,20000 to 29000,External,3,2021,Jun,3,Tuesday,1,Urban,Policyholder,>30,No,No,Jul,4,Thursday,>30,8461.494048,0
