PolicyNumber,PolicyType,Sex,Age,MaritalStatus,DriverRating,PastClaims,Deductible,AddressChange,VehicleCategory,Make,VehicleAge,VehiclePrice,AgentType,RepNumber,Year,Month,Week,Day,CarsInvolved,CollisionArea,Fault,InforceAccident,WitnessPresent,PoliceReport,MonthClaimed,WeekClaimed,DayClaimed,InforceClaim,Claim,Fraud
799,All Perils,Female,27,Single,2,1,400,4 to 8,Sedan,Chevrolet,7,>69000,External,6,2021,Jan,4,Monday,2,Urban,Policyholder,>30,No,No,Feb,1,Wednesday,>30,74810.30939,1
814,Collision,Male,43,Married,1,2 to 4,400,0,Sedan,Mazda,7,20000 to 29000,External,3,2021,Jan,4,Monday,1,Urban,Policyholder,>30,No,Yes,Feb,4,Monday,>30,5085.30042,1
824,Collision,Male,33,Single,4,0,400,0,Sedan,Honda,5,20000 to 29000,External,6,2021,Jan,4,Monday,1,Urban,Policyholder,>30,No,No,Feb,1,Tuesday,>30,9168.172503,1
828,Collision,Male,27,Married,1,1,400,0,Sedan,Hyundai,7,30000 to 39000,External,14,2021,Jan,4,Tuesday,1,Urban,Policyholder,>30,No,No,Apr,1,Tuesday,>30,55894.14284,1
831,Liability,Male,39,Married,3,>4,400,0,Sport,Chevrolet,7,30000 to 39000,External,6,2021,Jan,4,Tuesday,1,Urban,Policyholder,>30,No,No,Jan,4,Tuesday,>30,26599.61261,1
845,All Perils,Male,19,Single,3,0,400,0,Sedan,Honda,0,>69000,External,15,2021,Jan,4,Tuesday,1,Urban,Policyholder,>30,No,No,Feb,2,Wednesday,>30,60393.59647,1
849,All Perils,Male,65,Married,3,2 to 4,400,0,Sedan,Saab,>7,30000 to 39000,External,2,2021,Jan,4,Tuesday,1,Urban,Policyholder,>30,No,No,Feb,1,Friday,>30,16558.43177,1
891,Collision,Male,48,Married,4,0,400,0,Sedan,Hyundai,7,20000 to 29000,External,6,2021,Jan,4,Thursday,1,Urban,Policyholder,>30,No,No,Apr,2,Wednesday,>30,6241.311042,1
895,Collision,Male,24,Married,1,2 to 4,400,0,Sedan,Nissan,5,30000 to 39000,External,12,2021,Jan,4,Thursday,1,Rural,Policyholder,>30,No,No,Feb,1,Thursday,>30,57741.21514,1
901,All Perils,Male,26,Single,1,0,400,0,Sedan,Hyundai,6,40000 to 59000,External,7,2021,Jan,5,Friday,1,Rural,Policyholder,>30,No,No,Jan,5,Monday,>30,693.5115464,1
906,All Perils,Male,61,Married,1,2 to 4,400,0,Sedan,Toyota,>7,20000 to 29000,External,13,2021,Jan,5,Friday,1,Urban,Policyholder,>30,No,No,Feb,2,Friday,>30,3785.443185,1
911,All Perils,Male,57,Married,2,2 to 4,400,1,Sedan,Toyota,>7,20000 to 29000,External,16,2021,Jan,5,Friday,1,Urban,Policyholder,>30,No,No,Feb,1,Tuesday,>30,4830.468472,1
937,All Perils,Male,35,Married,4,1,400,0,Sedan,Chevrolet,5,20000 to 29000,External,14,2021,Jan,5,Saturday,1,Urban,Policyholder,>30,No,No,Feb,2,Thursday,>30,9420.044042,1
946,All Perils,Male,46,Married,3,2 to 4,400,4 to 8,Sedan,Mazda,5,20000 to 29000,External,6,2021,Jan,5,Sunday,2,Rural,Policyholder,>30,No,No,Mar,4,Friday,>30,1260.695958,1
950,Collision,Male,27,Married,3,2 to 4,400,0,Sedan,Hyundai,7,30000 to 39000,External,15,2021,Jan,5,Sunday,1,Rural,Policyholder,>30,No,No,Feb,1,Tuesday,>30,26089.62882,1
955,All Perils,Male,43,Married,3,1,400,0,Sedan,Honda,6,20000 to 29000,External,3,2021,Jan,5,Monday,1,Urban,Policyholder,>30,No,No,Feb,2,Tuesday,>30,1210.706207,1
961,All Perils,Male,35,Married,3,0,400,0,Sedan,Toyota,7,20000 to 29000,External,7,2021,Jan,5,Monday,1,Urban,Policyholder,1 to 7,No,No,Feb,1,Tuesday,8 to 15,2873.861872,1
964,Collision,Male,18,Single,3,0,400,0,Sport,Honda,3,>69000,External,4,2021,Jan,5,Monday,1,Rural,Policyholder,>30,No,No,Feb,1,Tuesday,>30,59551.89205,1
999,All Perils,Male,31,Married,2,0,400,0,Sedan,Hyundai,7,20000 to 29000,External,6,2021,Feb,1,Wednesday,1,Rural,Policyholder,>30,No,No,Feb,1,Friday,>30,3614.45704,1
1021,Collision,Male,43,Married,4,1,500,2 to 3,Sedan,Mazda,>7,30000 to 39000,External,5,2021,Nov,2,Friday,1,Urban,Third Party,>30,No,No,Nov,3,Monday,>30,10508.86843,1
1024,All Perils,Male,31,Married,1,2 to 4,700,0,Sedan,Acura,7,30000 to 39000,External,1,2021,Feb,1,Thursday,1,Urban,Policyholder,>30,No,No,Feb,2,Monday,>30,63535.61003,1
1055,All Perils,Male,35,Single,3,0,700,0,Sedan,Hyundai,7,20000 to 29000,External,14,2021,Feb,1,Friday,1,Urban,Policyholder,>30,No,No,Feb,2,Friday,>30,4148.845001,1
1063,All Perils,Male,43,Married,3,2 to 4,400,0,Sedan,Chevrolet,7,30000 to 39000,External,6,2021,Feb,1,Saturday,1,Urban,Policyholder,>30,No,No,Feb,2,Monday,>30,10176.01692,1
1072,Collision,Male,17,Single,3,0,400,2 to 3,Sedan,Honda,0,>69000,External,8,2021,Feb,1,Saturday,2,Rural,Policyholder,>30,No,No,Feb,2,Thursday,>30,59263.70243,1
1080,Collision,Male,31,Married,2,2 to 4,400,0,Sedan,Chevrolet,6,20000 to 29000,External,4,2021,Feb,1,Saturday,1,Urban,Policyholder,>30,No,No,Feb,2,Tuesday,>30,8331.755416,1
1089,All Perils,Male,29,Married,1,1,400,0,Sedan,Honda,7,20000 to 29000,External,4,2021,Feb,1,Sunday,1,Rural,Policyholder,>30,No,No,Feb,2,Monday,>30,5030.501234,1
1115,Collision,Male,40,Married,1,2 to 4,400,0,Sedan,Hyundai,5,30000 to 39000,External,7,2021,Feb,2,Tuesday,1,Urban,Policyholder,>30,No,No,Feb,4,Monday,>30,50077.31425,1
1168,All Perils,Male,33,Married,3,1,400,0,Sedan,Toyota,6,20000 to 29000,External,4,2021,Feb,2,Friday,1,Urban,Policyholder,>30,No,No,Feb,3,Thursday,>30,7941.06075,1
1183,Collision,Male,18,Single,2,0,400,0,Sport,Mazda,5,>69000,External,2,2021,Feb,2,Friday,1,Urban,Policyholder,>30,No,No,Mar,1,Wednesday,>30,59446.60799,1
1200,Collision,Male,30,Single,3,1,400,0,Sedan,Hyundai,6,30000 to 39000,External,12,2021,Feb,2,Friday,1,Rural,Policyholder,>30,No,No,Feb,3,Friday,>30,42450.46141,1
1232,All Perils,Male,52,Married,3,0,400,0,Sedan,Mazda,7,20000 to 29000,External,8,2021,Feb,2,Sunday,1,Urban,Policyholder,>30,No,No,Feb,3,Thursday,>30,8302.500167,1
1339,Collision,Male,29,Single,3,1,400,0,Sedan,Honda,6,20000 to 29000,External,16,2021,Feb,3,Thursday,1,Urban,Policyholder,>30,No,No,Feb,3,Friday,>30,4438.625729,1
1395,Collision,Male,65,Married,3,1,400,0,Sedan,Toyota,>7,20000 to 29000,External,9,2021,Feb,3,Saturday,3 to 4,Rural,Policyholder,>30,No,No,Apr,1,Friday,>30,1168.087551,1
1419,Liability,Female,32,Single,3,1,400,0,Sport,Hyundai,5,20000 to 29000,External,16,2021,Feb,3,Saturday,1,Urban,Policyholder,>30,No,No,Mar,1,Wednesday,>30,4468.460916,1
1427,All Perils,Male,30,Married,3,1,700,0,Sedan,Toyota,7,20000 to 29000,External,9,2021,Feb,3,Sunday,1,Urban,Policyholder,>30,No,No,Mar,1,Wednesday,>30,5147.145992,1
1429,All Perils,Male,31,Single,2,0,500,2 to 3,Sedan,Toyota,6,20000 to 29000,External,10,2021,Feb,3,Sunday,2,Urban,Policyholder,>30,No,No,Mar,3,Friday,>30,6709.61088,1
1457,All Perils,Male,20,Single,3,2 to 4,400,1,Sedan,Honda,0,>69000,External,9,2021,Feb,4,Monday,1,Urban,Policyholder,>30,No,No,Feb,4,Tuesday,>30,82211.85926,1
1482,All Perils,Male,62,Married,4,2 to 4,400,0,Sedan,Acura,>7,30000 to 39000,External,10,2021,Feb,4,Tuesday,1,Urban,Policyholder,>30,No,No,Apr,4,Friday,>30,14285.50735,1
1484,All Perils,Male,40,Married,1,2 to 4,400,0,Sedan,Honda,7,>69000,External,7,2021,Feb,4,Tuesday,1,Urban,Policyholder,>30,No,No,Mar,1,Wednesday,>30,71989.03218,1
1521,All Perils,Male,32,Married,3,0,400,0,Sedan,Hyundai,7,20000 to 29000,External,15,2021,Feb,4,Thursday,1,Urban,Policyholder,>30,No,No,Apr,3,Monday,>30,8720.027759,1
1556,All Perils,Male,19,Single,2,0,400,0,Sedan,Honda,0,>69000,External,10,2021,Feb,4,Friday,1,Urban,Policyholder,>30,No,Yes,Mar,4,Monday,>30,62888.308,1
1599,Collision,Male,22,Single,4,0,400,0,Sport,Honda,5,>69000,External,7,2021,Feb,4,Saturday,1,Urban,Policyholder,8 to 15,No,No,Mar,1,Tuesday,15 to 30,69032.49752,1
1600,All Perils,Male,58,Married,4,2 to 4,400,0,Sedan,Hyundai,>7,30000 to 39000,External,5,2021,Feb,4,Sunday,3 to 4,Urban,Policyholder,>30,No,No,Mar,2,Tuesday,>30,39814.60761,1
1661,All Perils,Male,34,Married,4,0,400,0,Sedan,Hyundai,7,30000 to 39000,External,6,2021,Mar,1,Tuesday,1,Rural,Policyholder,>30,No,No,Mar,2,Wednesday,>30,3467.164852,1
1676,All Perils,Male,25,Single,4,0,400,0,Sedan,Honda,0,>69000,External,15,2021,Mar,1,Wednesday,1,Urban,Policyholder,>30,No,No,Mar,2,Monday,>30,59496.46326,1
1683,All Perils,Male,38,Married,2,2 to 4,400,0,Sedan,Acura,7,30000 to 39000,External,9,2021,Mar,1,Wednesday,1,Urban,Policyholder,>30,No,No,Mar,2,Tuesday,>30,54863.31039,1
1685,All Perils,Male,30,Single,2,1,400,0,Sedan,Chevrolet,5,>69000,External,9,2021,Mar,1,Wednesday,1,Rural,Policyholder,>30,No,No,Mar,1,Friday,>30,78743.07924,1
1690,Collision,Male,34,Single,4,1,400,0,Sedan,Toyota,5,20000 to 29000,External,8,2021,Mar,1,Wednesday,1,Rural,Policyholder,>30,No,No,Mar,1,Wednesday,>30,1293.479743,1
1738,All Perils,Male,36,Married,4,1,400,0,Sedan,Toyota,7,>69000,External,4,2021,Mar,1,Saturday,1,Urban,Policyholder,>30,No,No,Mar,2,Tuesday,>30,54029.94663,1
1766,All Perils,Male,19,Single,2,1,400,0,Sedan,Honda,0,>69000,External,1,2021,Mar,1,Saturday,1,Urban,Policyholder,>30,No,No,Mar,2,Tuesday,>30,71748.16292,1
1778,Collision,Male,29,Single,4,>4,400,0,Sedan,Mazda,6,30000 to 39000,External,3,2021,Mar,1,Sunday,1,Urban,Policyholder,>30,No,No,Mar,2,Monday,>30,32846.4562,1
1781,Collision,Male,30,Married,4,2 to 4,400,0,Sedan,Mazda,6,>69000,External,4,2021,Mar,1,Sunday,1,Rural,Policyholder,>30,No,No,Mar,2,Monday,>30,55591.49362,1
1790,Collision,Male,51,Married,4,2 to 4,400,0,Sedan,Toyota,>7,30000 to 39000,External,14,2021,Mar,1,Sunday,1,Urban,Policyholder,>30,No,No,Mar,2,Tuesday,>30,16497.39424,1
1812,Collision,Male,19,Single,1,0,400,0,Sport,Honda,3,>69000,External,8,2021,Mar,1,Sunday,1,Urban,Policyholder,>30,No,No,Mar,3,Wednesday,>30,55178.634,1
1856,Collision,Male,37,Married,1,0,400,0,Sedan,Mazda,6,30000 to 39000,External,10,2021,Mar,2,Monday,1,Urban,Policyholder,>30,No,No,Mar,2,Monday,>30,7713.78356,1
1862,Liability,Male,50,Married,3,2 to 4,400,0,Sport,Toyota,>7,20000 to 29000,External,11,2021,Mar,2,Monday,1,Urban,Policyholder,>30,No,No,Mar,2,Thursday,>30,4144.860476,1
1863,All Perils,Male,29,Single,2,1,400,0,Utility,Ford,7,>69000,External,11,2021,Mar,2,Monday,1,Urban,Policyholder,>30,No,No,Apr,1,Friday,>30,51938.49001,1
1883,Collision,Male,36,Married,4,1,400,0,Sedan,Honda,6,30000 to 39000,External,10,2021,Mar,2,Tuesday,1,Urban,Policyholder,>30,No,No,Jul,1,Friday,>30,36423.28475,1
1889,Collision,Female,47,Married,3,2 to 4,400,0,Sedan,Chevrolet,>7,>69000,External,15,2021,Mar,2,Tuesday,1,Urban,Policyholder,>30,No,No,Mar,2,Wednesday,>30,79076.27468,1
1895,All Perils,Male,43,Married,3,1,400,0,Sedan,Honda,>7,30000 to 39000,External,11,2021,Mar,2,Wednesday,1,Urban,Policyholder,>30,No,No,Mar,2,Wednesday,>30,14922.01624,1
1963,All Perils,Male,28,Married,1,>4,400,0,Sedan,Toyota,5,20000 to 29000,External,5,2021,Mar,2,Saturday,1,Urban,Policyholder,>30,No,No,Apr,1,Tuesday,>30,48847.37971,1
2004,All Perils,Female,44,Married,4,0,400,0,Sedan,Mazda,6,20000 to 29000,External,3,2021,Mar,2,Sunday,1,Urban,Policyholder,>30,No,No,Mar,3,Monday,>30,4381.965081,1
2028,All Perils,Male,65,Married,1,0,400,0,Utility,Acura,7,>69000,External,13,2021,Mar,3,Monday,1,Urban,Policyholder,>30,No,No,Mar,3,Thursday,>30,57426.14892,1
2042,Collision,Male,55,Married,4,2 to 4,400,0,Sedan,Hyundai,6,30000 to 39000,External,9,2021,Mar,3,Tuesday,1,Urban,Policyholder,>30,No,No,Mar,3,Thursday,>30,11442.42825,1
2104,Collision,Male,25,Single,1,0,400,0,Sedan,Honda,0,>69000,External,12,2021,Mar,3,Thursday,1,Urban,Policyholder,>30,No,No,Mar,3,Thursday,>30,59418.4288,1
2143,Liability,Male,42,Married,1,0,500,2 to 3,Sport,Toyota,>7,30000 to 39000,External,7,2021,Jun,5,Friday,2,Urban,Third Party,>30,No,No,Jul,1,Tuesday,>30,7788.774512,1
2144,All Perils,Male,55,Married,4,1,400,0,Sedan,Ford,7,40000 to 59000,External,13,2021,Mar,3,Saturday,1,Urban,Policyholder,>30,No,No,Mar,4,Tuesday,>30,20654.59389,1
2168,All Perils,Male,55,Married,2,0,400,0,Sedan,Toyota,>7,<20000,External,3,2021,Mar,3,Saturday,1,Rural,Policyholder,>30,No,No,Apr,1,Friday,>30,7529.294081,1
2174,All Perils,Male,45,Married,3,2 to 4,400,0,Sedan,Toyota,>7,20000 to 29000,External,7,2021,Mar,3,Sunday,3 to 4,Rural,Policyholder,>30,No,No,Mar,4,Tuesday,>30,3446.159045,1
2186,Collision,Male,44,Married,3,0,400,0,Sedan,Hyundai,>7,<20000,External,11,2021,Mar,3,Sunday,1,Urban,Policyholder,>30,No,No,Mar,4,Monday,>30,3978.2324,1
2203,All Perils,Male,33,Married,4,2 to 4,400,0,Sedan,Toyota,7,>69000,External,16,2021,Mar,4,Monday,1,Urban,Policyholder,>30,No,No,Mar,5,Monday,>30,74810.30939,1
2205,Collision,Male,57,Married,1,0,400,0,Sedan,Toyota,>7,20000 to 29000,External,16,2021,Mar,4,Monday,1,Urban,Policyholder,>30,No,No,Apr,2,Friday,>30,8407.21997,1
2221,Collision,Male,43,Married,2,0,400,0,Sedan,Hyundai,7,20000 to 29000,External,5,2021,Mar,4,Monday,1,Urban,Policyholder,>30,No,No,Apr,1,Tuesday,>30,886.1877691,1
2241,All Perils,Male,52,Married,1,1,400,0,Sedan,Toyota,>7,>69000,External,1,2021,Mar,4,Tuesday,1,Urban,Policyholder,>30,No,No,Aug,1,Tuesday,>30,69927.89407,1
2254,All Perils,Male,17,Single,2,1,400,0,Sedan,Honda,0,>69000,External,8,2021,Mar,4,Wednesday,1,Urban,Policyholder,>30,No,No,Mar,4,Friday,>30,77972.4421,1
2293,Collision,Male,52,Married,2,2 to 4,400,0,Sedan,Chevrolet,>7,30000 to 39000,External,10,2021,Mar,4,Thursday,1,Urban,Policyholder,>30,No,No,Apr,1,Friday,>30,67668.95452,1
2318,All Perils,Male,42,Married,2,1,400,0,Sedan,Hyundai,7,20000 to 29000,External,1,2021,Mar,4,Saturday,1,Urban,Policyholder,>30,No,No,Apr,1,Friday,>30,2713.812847,1
2339,Collision,Male,32,Married,1,1,400,0,Sedan,Chevrolet,6,20000 to 29000,External,16,2021,Mar,4,Saturday,1,Urban,Policyholder,>30,No,No,Apr,2,Thursday,>30,8317.186322,1
2340,Collision,Male,60,Married,4,1,400,0,Sedan,Mazda,7,20000 to 29000,External,1,2021,Mar,4,Saturday,1,Urban,Policyholder,>30,No,No,Apr,1,Friday,>30,2449.524516,1
2354,All Perils,Male,40,Married,3,2 to 4,400,0,Sedan,Chevrolet,7,30000 to 39000,External,3,2021,Mar,4,Sunday,1,Urban,Policyholder,>30,Yes,No,Apr,5,Friday,>30,16480.13615,1
2384,Collision,Female,43,Married,3,0,400,0,Sedan,Mazda,7,20000 to 29000,External,13,2021,Mar,5,Monday,1,Urban,Policyholder,>30,No,No,Apr,2,Friday,>30,616.3876271,1
2388,All Perils,Male,50,Married,2,0,700,0,Sedan,Ford,>7,20000 to 29000,External,16,2021,Mar,5,Monday,1,Urban,Policyholder,>30,No,No,Apr,1,Tuesday,>30,7032.902226,1
2424,All Perils,Female,32,Married,4,1,400,0,Sedan,Hyundai,6,20000 to 29000,External,15,2021,Mar,5,Tuesday,1,Urban,Policyholder,>30,No,No,Apr,3,Wednesday,>30,3693.588255,1
2434,Liability,Male,51,Married,1,2 to 4,400,0,Sport,Chevrolet,>7,>69000,External,15,2021,Mar,5,Wednesday,1,Urban,Policyholder,>30,No,No,Apr,2,Monday,>30,65821.08793,1
2437,All Perils,Male,28,Single,2,1,400,4 to 8,Sedan,Toyota,6,20000 to 29000,External,5,2021,Mar,5,Wednesday,2,Rural,Policyholder,>30,No,No,May,1,Friday,>30,1276.628244,1
2459,Collision,Male,33,Married,2,2 to 4,400,0,Sedan,Honda,6,20000 to 29000,External,10,2021,Mar,5,Thursday,1,Rural,Policyholder,0,No,No,Apr,1,Monday,8 to 15,6619.550206,1
2469,All Perils,Male,61,Married,4,>4,400,0,Sedan,Toyota,>7,30000 to 39000,External,15,2021,Mar,5,Thursday,1,Urban,Policyholder,>30,No,No,Apr,4,Thursday,>30,42756.95099,1
2485,All Perils,Male,26,Married,4,0,400,0,Sedan,Hyundai,7,20000 to 29000,External,6,2021,Apr,1,Friday,1,Rural,Policyholder,>30,No,No,Dec,3,Wednesday,>30,8064.128234,1
2586,Collision,Male,32,Single,1,1,400,0,Sedan,Ford,6,20000 to 29000,External,7,2021,Apr,1,Monday,1,Urban,Policyholder,>30,No,No,Apr,1,Tuesday,>30,6207.716818,1
2628,All Perils,Male,54,Married,4,1,400,0,Sedan,Toyota,>7,30000 to 39000,External,12,2021,Apr,1,Tuesday,1,Urban,Policyholder,>30,No,No,Apr,2,Friday,>30,16638.65177,1
2646,All Perils,Male,32,Single,2,2 to 4,400,0,Sedan,Hyundai,5,20000 to 29000,External,4,2021,Apr,1,Wednesday,1,Urban,Policyholder,>30,No,No,Jun,1,Friday,>30,1033.502121,1
2678,All Perils,Male,32,Married,2,0,400,0,Sedan,Ford,6,20000 to 29000,External,4,2021,Apr,2,Friday,1,Rural,Policyholder,>30,No,No,Apr,3,Thursday,>30,5895.903884,1
2757,All Perils,Female,40,Divorced,2,0,400,0,Sedan,Chevrolet,7,20000 to 29000,External,12,2021,Apr,2,Monday,1,Urban,Policyholder,>30,No,No,Apr,2,Tuesday,>30,7889.394986,1
2789,All Perils,Male,25,Single,4,1,400,0,Sedan,Kia,5,20000 to 29000,External,1,2021,Apr,2,Tuesday,3 to 4,Urban,Policyholder,>30,No,No,Apr,3,Tuesday,>30,4198.530342,1
2790,All Perils,Male,38,Married,4,1,400,0,Sedan,Toyota,7,20000 to 29000,External,4,2021,Apr,2,Tuesday,1,Urban,Policyholder,>30,No,No,Apr,4,Friday,>30,9085.554503,1
2806,All Perils,Male,44,Married,1,0,500,2 to 3,Sedan,Ford,7,20000 to 29000,External,15,2021,Apr,2,Tuesday,1,Urban,Policyholder,>30,No,No,Apr,3,Tuesday,>30,6711.748628,1
2809,Collision,Male,55,Married,2,2 to 4,400,0,Sedan,Acura,>7,30000 to 39000,External,10,2021,Apr,2,Tuesday,1,Rural,Policyholder,>30,No,No,Apr,3,Wednesday,>30,76624.97088,1
